id_1;factor_expansion;EDU_1_4;EDU_5_1;EDU_5_2;EDU_5_3;EDU_5_4;EDU_8_1;EDU_11_1;EDU_12_1;EDU_12_2;EDU_12_3;EDU_12_4;EDU_12_5;EDU_12_6;EDU_12_7;EDU_12_8;EDU_12_9;EDU_12_10;EDU_12_11;EDU_12_12;EDU_12_13;EDU_12_14;EDU_12_15;EDU_12_16;EDU_12_17;EDU_12_18;EDU_12_19;PER_1_1;PER_2_1;EDU_2_1;EDU_7_1
1978;7;Chile;Si;Si;Si;No;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Muy buena;Buena;Muy buena;Buena;Buena;Suficiente;Muy buena;Muy buena;Muy buena;Buena;Suficiente;Suficiente;Muy buena;Pobre;Buena;Buena;Buena;Pobre;Muy pobre;Femenino;35-44 años;Ciencias naturales;El 2012 o después
119;7;Otros;Si;Si;Si;No;Jornada completa;Apoyo del cónyuge, de la pareja o familia;Buena;Buena;Muy buena;Buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Suficiente;Femenino;35-44 años;Ciencias sociales;El 2012 o después
1100;8;Chile;Si;Si;No;No;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Muy buena;Buena;Muy buena;Buena;Buena;Buena;Muy buena;Buena;Muy buena;Buena;Muy buena;Buena;Muy buena;Buena;Buena;Buena;Buena;Buena;Buena;Masculino;35-44 años;Ciencias médicas y de la salud;El 2012 o después
351;8;Chile;Si;Si;Si;No;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Buena;Buena;Muy buena;Muy buena;Suficiente;Suficiente;Muy buena;Buena;Buena;Buena;Muy buena;Buena;Buena;Pobre;Buena;Buena;Muy buena;Pobre;Muy pobre;Masculino;35-44 años;Ciencias naturales;Antes del 2012
830;7;Otros;Si;No;Si;No;Jornada completa;Beca o subsidio de una institución extranjera;Suficiente;Buena;Muy buena;Muy buena;Muy buena;Suficiente;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Suficiente;Buena;Muy buena;Muy buena;Buena;Buena;Suficiente;Femenino;55-64 años;Ciencias sociales;Antes del 2012
1673;7;Chile;Si;Si;Si;Si;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Suficiente;Muy buena;Muy buena;Buena;Muy buena;Buena;Buena;Muy buena;Suficiente;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Femenino;35-44 años;Ciencias naturales;Antes del 2012
1306;8;Chile;Si;Si;No;No;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Muy buena;Pobre;Muy buena;Muy buena;Buena;Suficiente;Muy buena;Buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Buena;Buena;Buena;Muy buena;Buena;Muy pobre;Masculino;45-54 años;Ciencias naturales;Antes del 2012
852;8;Chile;Si;Si;No;No;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Muy buena;Pobre;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Buena;Muy buena;Muy buena;Suficiente;Muy buena;Muy buena;Buena;Muy buena;Muy buena;Suficiente;Pobre;Masculino;45-54 años;Ciencias médicas y de la salud;Antes del 2012
141;8;Chile;Si;Si;No;No;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Muy buena;Buena;Muy buena;Muy buena;Muy buena;Buena;Muy buena;Buena;Muy buena;Muy buena;Muy buena;Buena;Muy buena;Buena;Muy buena;Muy buena;Suficiente;Suficiente;Pobre;Masculino;< 35 años;Ciencias naturales;El 2012 o después
1816;7;Chile;Si;Si;No;No;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Buena;Muy buena;Buena;Femenino;45-54 años;Ciencias naturales;Antes del 2012
1940;8;Otros;Si;Si;Si;Si;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Muy buena;Buena;Muy buena;Muy buena;Buena;Buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Buena;Muy buena;Buena;Masculino;35-44 años;Ciencias agrícolas y veterinarias;El 2012 o después
1619;8;Chile;Si;Si;No;No;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Buena;Muy buena;Muy buena;Buena;Buena;Buena;Muy buena;Muy buena;Buena;Buena;Buena;Muy buena;Muy buena;Buena;Masculino;35-44 años;Ciencias naturales;Antes del 2012
1017;7;Chile;Si;Si;Si;Si;Jornada completa;Ingresos por trabajo de asistente docente o de investigación;Buena;Buena;Buena;Buena;Buena;Buena;Buena;Buena;Buena;Buena;Buena;Buena;Buena;Buena;Buena;Buena;Suficiente;Suficiente;Suficiente;Femenino;45-54 años;Ciencias médicas y de la salud;El 2012 o después
1177;8;Otros;No;No;No;Si;Jornada completa;Beca o subsidio de una institución extranjera;Muy buena;Buena;Muy buena;Muy buena;Muy buena;Muy buena;Suficiente;Buena;Buena;Buena;Muy buena;Suficiente;Muy buena;Muy buena;Muy buena;Suficiente;Muy buena;Muy buena;Muy pobre;Masculino;55-64 años;Ciencias sociales;Antes del 2012
1097;8;Chile;Si;Si;Si;Si;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Buena;Buena;Buena;Masculino;35-44 años;Ciencias agrícolas y veterinarias;El 2012 o después
1171;8;Otros;No;Si;No;No;Jornada completa;Beca o subsidio de la entidad empleadora;Buena;Muy buena;Muy buena;Buena;Buena;Muy buena;Buena;Buena;Buena;Muy buena;Muy buena;Buena;Muy buena;Buena;Muy buena;Buena;Muy buena;Muy buena;Suficiente;Masculino;35-44 años;Ciencias naturales;Antes del 2012
839;7;Otros;Si;No;Si;No;Jornada completa;Apoyo del cónyuge, de la pareja o familia;Buena;Buena;Suficiente;Muy buena;Muy buena;Buena;Buena;Suficiente;Muy buena;Buena;Muy buena;Muy buena;Muy buena;Suficiente;Muy buena;Buena;Pobre;Muy buena;Buena;Femenino;35-44 años;Ciencias sociales;El 2012 o después
1798;7;Chile;No;Si;No;No;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Buena;Buena;Muy buena;Muy buena;Buena;Buena;Buena;Muy buena;Buena;Muy buena;Muy buena;Buena;Buena;Buena;Muy buena;Buena;Suficiente;Buena;Buena;Femenino;< 35 años;Ciencias naturales;El 2012 o después
2106;8;Otros;Si;Si;No;No;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Suficiente;Suficiente;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Suficiente;Suficiente;Suficiente;Buena;Suficiente;Masculino;35-44 años;Ciencias sociales;El 2012 o después
2153;7;Chile;Si;Si;No;No;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Muy buena;Buena;Muy buena;Muy buena;Buena;Suficiente;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Buena;Muy buena;Pobre;Femenino;< 35 años;Ingeniería y tecnología;El 2012 o después
2358;7;Chile;Si;Si;No;No;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Muy buena;Muy buena;Buena;Buena;Buena;Buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Buena;Buena;Femenino;< 35 años;Ciencias naturales;El 2012 o después
928;8;Otros;Si;No;No;No;Jornada completa;Ahorros personales;Buena;Muy buena;Muy buena;Muy buena;Buena;Buena;Muy buena;Muy buena;Buena;Muy buena;Muy buena;Buena;Muy buena;Buena;Muy buena;Buena;Buena;Muy buena;Suficiente;Masculino;65-69 años;Humanidades;Antes del 2012
2242;7;Otros;Si;No;Si;No;Jornada completa;Beca o subsidio de una institución extranjera;Buena;Buena;Buena;Buena;Suficiente;Suficiente;Buena;Muy buena;Buena;Buena;Muy buena;Buena;Buena;Buena;Buena;Buena;Muy buena;Buena;Suficiente;Femenino;35-44 años;Ciencias sociales;Antes del 2012
1831;8;Chile;Si;Si;No;No;Jornada completa;Otros;Muy buena;Buena;Muy buena;Muy buena;Muy buena;Buena;Muy buena;Muy buena;Buena;Buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Buena;Muy buena;Suficiente;Masculino;35-44 años;Ciencias naturales;Antes del 2012
1294;7;Otros;No;No;No;No;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Suficiente;Buena;Muy buena;Muy buena;Muy buena;Suficiente;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Suficiente;Muy buena;Buena;Suficiente;Buena;Muy buena;Pobre;Pobre;Femenino;35-44 años;Humanidades;El 2012 o después
2328;7;Chile;Si;Si;Si;No;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Buena;Suficiente;Buena;Buena;Buena;Suficiente;Buena;Buena;Muy buena;Muy buena;Buena;Buena;Buena;Buena;Buena;Buena;Buena;Buena;Suficiente;Femenino;35-44 años;Ingeniería y tecnología;El 2012 o después
2408;8;Chile;Si;No;No;No;Jornada completa;Ahorros personales;Muy buena;Muy buena;Buena;Buena;Buena;Buena;Buena;Buena;Buena;Muy buena;Muy buena;Buena;Buena;Suficiente;Suficiente;Suficiente;Muy buena;Buena;Suficiente;Masculino;35-44 años;Ciencias sociales;Antes del 2012
1667;8;Chile;Si;Si;No;No;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Muy buena;Buena;Muy buena;Buena;Muy buena;Buena;Muy buena;Buena;Muy buena;Buena;Muy buena;Suficiente;Muy buena;Buena;Buena;Buena;Suficiente;Suficiente;Pobre;Masculino;55-64 años;Ciencias naturales;Antes del 2012
132;8;Otros;Si;No;No;No;Jornada parcial;Beca o subsidio de una institución extranjera;Buena;Buena;Muy buena;Muy buena;Buena;Pobre;Suficiente;Suficiente;Suficiente;Suficiente;Muy buena;Pobre;Buena;Buena;Suficiente;Suficiente;Pobre;Pobre;Muy pobre;Masculino;45-54 años;Humanidades;Antes del 2012
640;8;Chile;Si;Si;Si;No;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Muy buena;Muy buena;Muy buena;Muy buena;Suficiente;Muy buena;Muy buena;Buena;Muy buena;Muy buena;Muy buena;Buena;Muy buena;Muy buena;Suficiente;Muy buena;Pobre;Muy buena;Pobre;Masculino;35-44 años;Ingeniería y tecnología;Antes del 2012
2160;8;Chile;Si;Si;No;No;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Buena;Suficiente;Muy buena;Muy buena;Buena;Buena;Muy buena;Buena;Muy buena;Buena;Muy buena;Suficiente;Muy buena;Suficiente;Buena;Pobre;Buena;Suficiente;Pobre;Masculino;35-44 años;Ciencias médicas y de la salud;El 2012 o después
718;8;Chile;Si;No;Si;No;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Muy buena;Buena;Buena;Muy buena;Buena;Suficiente;Buena;Buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Buena;Muy buena;Suficiente;Muy buena;Buena;Masculino;45-54 años;Humanidades;Antes del 2012
1830;8;Otros;Si;No;Si;No;Jornada parcial;Beca o subsidio de la entidad empleadora;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Buena;Muy buena;Muy buena;Buena;Muy buena;Buena;Muy buena;Muy pobre;Masculino;45-54 años;Ciencias sociales;El 2012 o después
2196;7;Otros;No;No;No;No;Jornada completa;Beca o subsidio de una institución extranjera;Muy buena;Muy buena;Muy buena;Muy buena;Buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Buena;Buena;Buena;Muy buena;Suficiente;Muy buena;Muy buena;Suficiente;Femenino;35-44 años;Humanidades;Antes del 2012
2150;7;Chile;Si;Si;Si;No;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Buena;Buena;Buena;Muy buena;Buena;Buena;Buena;Buena;Buena;Buena;Muy buena;Buena;Muy buena;Buena;Muy buena;Buena;Suficiente;Muy buena;Buena;Femenino;55-64 años;Ciencias médicas y de la salud;El 2012 o después
551;8;Otros;Si;Si;Si;No;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Buena;Buena;Muy buena;Muy buena;Muy buena;Buena;Buena;Muy buena;Muy buena;Muy buena;Muy buena;Buena;Muy buena;Buena;Muy buena;Muy buena;Muy buena;Buena;Muy buena;Masculino;45-54 años;Ciencias agrícolas y veterinarias;Antes del 2012
1994;7;Otros;Si;No;No;No;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Buena;Buena;Buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Buena;Muy buena;Muy buena;Muy buena;Buena;Muy buena;Muy buena;Muy buena;Pobre;Buena;Buena;Femenino;35-44 años;Ciencias sociales;El 2012 o después
1016;8;Chile;Si;Si;Si;No;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Muy buena;Buena;Buena;Buena;Buena;Suficiente;Muy buena;Buena;Buena;Buena;Muy buena;Buena;Buena;Buena;Muy buena;Buena;Muy buena;Buena;Suficiente;Masculino;35-44 años;Ciencias naturales;El 2012 o después
1081;8;Otros;Si;Si;Si;No;Jornada completa;Beca o subsidio de una institución extranjera;Muy buena;Suficiente;Muy buena;Buena;Suficiente;Suficiente;Buena;Buena;Buena;Muy buena;Muy buena;Suficiente;Buena;Suficiente;Buena;Buena;Muy buena;Suficiente;Suficiente;Masculino;55-64 años;Ciencias agrícolas y veterinarias;Antes del 2012
1328;7;Otros;Si;No;No;No;Jornada completa;Beca o subsidio de una institución extranjera;Muy buena;Muy buena;Muy buena;Buena;Buena;Muy buena;Buena;Muy buena;Muy buena;Buena;Muy buena;Buena;Muy buena;Buena;Buena;Buena;Muy buena;Buena;Suficiente;Femenino;55-64 años;Ciencias naturales;Antes del 2012
1142;7;Chile;Si;No;Si;No;Jornada parcial;Ahorros personales;Muy buena;Suficiente;Muy buena;Muy buena;Buena;Buena;Buena;Muy buena;Buena;Buena;Muy buena;Buena;Muy buena;Muy buena;Muy buena;Buena;Buena;Buena;Pobre;Femenino;65-69 años;Ciencias sociales;Antes del 2012
1034;8;Chile;Si;Si;No;No;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Muy buena;Buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Buena;Masculino;35-44 años;Ciencias naturales;Antes del 2012
1220;7;Chile;No;Si;Si;No;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Muy buena;Muy buena;Muy buena;Buena;Muy buena;Buena;Muy buena;Buena;Muy buena;Buena;Muy buena;Buena;Muy buena;Suficiente;Muy buena;Suficiente;Buena;Buena;Pobre;Femenino;35-44 años;Ciencias sociales;El 2012 o después
947;8;Chile;Si;Si;Si;No;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Muy buena;Suficiente;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy pobre;Masculino;35-44 años;Ciencias naturales;Antes del 2012
454;7;Otros;Si;No;Si;No;Jornada completa;Beca o subsidio de una institución extranjera;Muy buena;Muy buena;Muy buena;Muy buena;Buena;Buena;Muy buena;Buena;Buena;Muy buena;Muy buena;Muy buena;Buena;Buena;Muy buena;Muy buena;Pobre;Buena;Muy pobre;Femenino;< 35 años;Ciencias naturales;El 2012 o después
1348;8;Otros;Si;Si;Si;No;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Muy buena;Buena;Muy buena;Buena;Muy buena;Suficiente;Muy buena;Suficiente;Buena;Buena;Muy buena;Pobre;Muy buena;Suficiente;Muy buena;Buena;Muy buena;Buena;Pobre;Masculino;35-44 años;Ciencias médicas y de la salud;El 2012 o después
547;7;Otros;Si;No;No;No;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Suficiente;Buena;Muy buena;Muy buena;Buena;Suficiente;Buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Buena;Buena;Buena;Suficiente;Muy buena;Pobre;Femenino;35-44 años;Humanidades;El 2012 o después
1649;8;Otros;Si;Si;Si;No;Jornada completa;Ingresos por trabajo de asistente docente o de investigación;Muy buena;Buena;Muy buena;Muy buena;Muy buena;Buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Buena;Muy buena;Suficiente;Masculino;55-64 años;Ciencias naturales;Antes del 2012
2305;8;Otros;Si;No;Si;No;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Buena;Muy buena;Muy buena;Muy buena;Muy buena;Buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Suficiente;Masculino;55-64 años;Ingeniería y tecnología;Antes del 2012
1388;8;Chile;Si;Si;Si;Si;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Buena;Buena;Muy buena;Suficiente;Muy buena;Muy buena;Masculino;45-54 años;Ciencias agrícolas y veterinarias;El 2012 o después
2015;7;Chile;Si;Si;No;No;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Buena;Suficiente;Muy buena;Muy buena;Muy buena;Muy buena;Buena;Buena;Buena;Buena;Muy buena;Pobre;Buena;Suficiente;Muy buena;Pobre;Buena;Muy buena;Muy pobre;Femenino;< 35 años;Ciencias naturales;El 2012 o después
2263;7;Chile;Si;No;Si;No;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Buena;Suficiente;Muy buena;Muy buena;Buena;Suficiente;Buena;Buena;Buena;Buena;Muy buena;Buena;Muy buena;Muy buena;Buena;Buena;Buena;Muy buena;Buena;Femenino;45-54 años;Ciencias sociales;El 2012 o después
1326;7;Chile;Si;Si;Si;No;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Muy buena;Buena;Muy buena;Buena;Suficiente;Suficiente;Muy buena;Buena;Buena;Buena;Muy buena;Suficiente;Muy buena;Pobre;Muy buena;Suficiente;Buena;Muy buena;Pobre;Femenino;35-44 años;Ciencias naturales;Antes del 2012
1749;8;Chile;Si;Si;No;No;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Buena;Buena;Muy buena;Muy buena;Muy buena;Buena;Buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Buena;Buena;Muy buena;Masculino;< 35 años;Ciencias naturales;El 2012 o después
356;8;Otros;Si;No;No;No;Jornada completa;Ahorros personales;Buena;Muy buena;Muy buena;Muy buena;Suficiente;Muy pobre;Suficiente;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Suficiente;Muy buena;Muy buena;Suficiente;Suficiente;Muy pobre;Masculino;< 35 años;Humanidades;El 2012 o después
1670;7;Chile;Si;Si;No;No;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Muy buena;Suficiente;Buena;Suficiente;Suficiente;Suficiente;Buena;Buena;Suficiente;Buena;Muy buena;Pobre;Suficiente;Pobre;Buena;Buena;Suficiente;Pobre;Pobre;Femenino;35-44 años;Ciencias médicas y de la salud;El 2012 o después
688;7;Chile;Si;Si;No;No;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Suficiente;Muy buena;Buena;Muy buena;Muy buena;Muy buena;Pobre;Muy buena;Muy buena;Buena;Buena;Buena;Suficiente;Muy pobre;Femenino;< 35 años;Ciencias médicas y de la salud;El 2012 o después
363;8;Otros;Si;Si;Si;No;Jornada completa;Beca o subsidio de una institución extranjera;Muy buena;Buena;Muy buena;Muy buena;Suficiente;Muy buena;Muy buena;Buena;Muy buena;Muy buena;Muy buena;Buena;Muy buena;Buena;Muy buena;Buena;Muy buena;Buena;Buena;Masculino;45-54 años;Ciencias agrícolas y veterinarias;Antes del 2012
1768;8;Otros;Si;Si;Si;No;Jornada completa;Beca o subsidio de una institución extranjera;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Suficiente;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Buena;Muy buena;Suficiente;Masculino;35-44 años;Ciencias naturales;El 2012 o después
752;7;Chile;Si;Si;No;Si;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Muy buena;Muy buena;Muy buena;Muy buena;Buena;Buena;Muy buena;Muy buena;Buena;Buena;Muy buena;Buena;Buena;Suficiente;Buena;Muy buena;Suficiente;Buena;Buena;Femenino;35-44 años;Ciencias médicas y de la salud;El 2012 o después
861;8;Chile;Si;Si;Si;No;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Buena;Suficiente;Muy buena;Buena;Buena;Pobre;Buena;Suficiente;Buena;Buena;Buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Pobre;Masculino;35-44 años;Ingeniería y tecnología;El 2012 o después
2323;7;Chile;Si;Si;No;No;Jornada completa;Otros;Buena;Suficiente;Muy buena;Muy buena;Muy buena;Suficiente;Buena;Suficiente;Muy buena;Suficiente;Muy buena;Suficiente;Muy buena;Muy buena;Suficiente;Suficiente;Muy buena;Muy buena;Suficiente;Femenino;45-54 años;Ingeniería y tecnología;El 2012 o después
1244;8;Chile;Si;Si;Si;Si;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Buena;Muy buena;Muy buena;Muy buena;Muy buena;Buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Buena;Buena;Muy buena;Buena;Suficiente;Masculino;< 35 años;Ciencias naturales;El 2012 o después
1027;7;Chile;Si;Si;No;Si;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Muy buena;Suficiente;Muy buena;Muy buena;Suficiente;Pobre;Muy buena;Muy buena;Buena;Suficiente;Muy buena;Muy buena;Buena;Muy buena;Muy buena;Buena;Suficiente;Muy buena;Suficiente;Femenino;35-44 años;Ciencias naturales;El 2012 o después
